ranking_posicion,CUENTA_ID,SED_ID,LLAVE_ID,MACRO_GIRO,tipo_predicho,probabilidad_final,posterior_fraude,recupero_p10_kwh,recupero_p10_soles,prioridad,nivel_sospecha,alta_incertidumbre,datos_insuficientes,sin_servicio,caida_pct,factor_uso,desv_sed,anomaly_score,firma_fraude,señal_vecindario,caida_vs_sed,desacople_sed,cons_anual,ratio_meses_activos,POTENCIA_CONTRATADA,meses_cero_finales,meses_activos,kwhd_promedio
46,SUM_005714,SED_2738,LLAVE_16,POT_ALTA,MANIPULACIÓN,0.5505854243412803,0.002531645567879608,7643.331341830802,5098.102005001145,2806.940655758687,ALTO,False,False,False,1.0,0.0016129032258064516,-0.5401759871798038,0.38927800632098075,0.6043545636813802,0.9426861079526452,0.848028783811887,0.895786899248909,240.0,0.6666666666666666,12.0,4,8,0.6593621991807476
47,SUM_003643,SED_0515,LLAVE_16,POT_ALTA,CLANDESTINA,0.5576786645656201,0.002531645567879608,7499.180900639142,5001.953660726308,2789.4828377329623,ALTO,False,False,False,1.0,0.004108796296296296,1.217192062436562,0.4099083551512613,0.6069354343704063,0.9138853588388736,0.7594663671292234,0.5826218250797548,354.0,0.75,12.0,3,9,0.9725294418842806
48,SUM_016085,SED_2002,LLAVE_05,POT_ALTA,MANIPULACIÓN,0.8755745793555698,0.01895129477444738,4751.581412081981,3169.304801858682,2774.962718737003,CRÍTICO,False,False,False,0.40241427532740254,0.14183599108367628,11.831537951454616,0.6408307187214718,0.9538225329002691,0.870938398769313,0.42658258826584095,0.5117723455338176,42382.0,0.8333333333333334,8.1,0,10,24.263103504450196
49,SUM_001518,SED_0044,LLAVE_05,POT_ALTA,MANIPULACIÓN,0.7477243485443631,0.0024810306805202686,5548.976341268216,3701.1672196259,2767.4528481485277,BAJO,False,False,False,-1.5645010822534948,0.5926859318996416,65.99204492995388,0.794858479399045,0.39564543631861987,0.2124071968430205,-0.5897354794717807,0.1529714364276144,51710.0,1.0,12.0,0,10,168.2783201874136
50,SUM_013344,SED_0044,LLAVE_05,POT_ALTA,MANIPULACIÓN,0.7812147330538421,0.011162718434674463,5296.048186348301,3532.464140294317,2759.6130303822947,MUY ALTO,False,False,False,-0.6374737691883499,0.31569395441308246,35.48700012871677,0.7777664643725081,0.7823641559476202,0.25491271486857064,-1.0005866222030084,0.30994099935471614,33487.0,1.0,12.0,0,12,91.65178629363315
51,SUM_012633,SED_1207,LLAVE_16,POT_ALTA,CLANDESTINA,0.5542098120603266,0.002531645567879608,7439.54640436752,4962.177451713136,2750.0874329239277,ALTO,False,False,False,0.7572004608294931,0.0022744518712260646,3.5009032824173354,0.39603294513008747,0.6069354343704063,0.9040666176175507,0.5997999768689803,0.6630161334334017,261.0,0.8333333333333334,11.1,1,10,0.7231070788530466
52,SUM_004118,SED_0670,LLAVE_05,POT_ALTA,MANIPULACIÓN,0.8275583181383441,0.01895129477444738,4981.80475944569,3322.8637745502756,2749.863556669656,CRÍTICO,False,False,False,1.0,0.03645678645678646,1.2992095795903627,0.44876567385256894,0.9538225329002691,0.9222460036117985,0.7137327834139992,0.8048572424272776,3143.0,0.5833333333333334,11.1,3,7,6.847468761077632
53,SUM_010398,SED_2743,LLAVE_16,POT_MEDIA,CLANDESTINA,0.549677072931329,0.002531645567879608,7477.575834499323,4987.543081611048,2741.5380822188613,ALTO,False,False,False,1.0,0.0027233115468409588,-0.559520089260829,0.38564460068117523,0.6043545636813802,0.9116580830713664,0.648106253676223,0.7151958280393789,141.0,0.75,5.1,3,9,0.38984174987199177
54,SUM_012384,SED_2329,LLAVE_13,POT_ALTA,CLANDESTINA,0.6180018638130055,0.007872924089224274,6611.629917885751,4409.957155229796,2725.3617412675135,MUY ALTO,False,False,False,1.0,0.01597222222222222,0.11424219419798201,0.36194247787206313,0.7033549924599862,0.8961139723095444,0.6633517008293066,0.4986928013805259,1351.0,0.75,12.0,3,9,3.710977502560164
55,SUM_006785,SED_2195,LLAVE_16,POT_MUY_ALTA,MANIPULACIÓN,0.7499147160648441,0.002531645567879608,5438.501110311087,3627.4802405774954,2720.3008146435045,MODERADO,False,False,False,0.052834573126256106,0.15508512544802866,17.545690408087136,0.4991349267210024,0.5000609339325833,0.7133904086683164,0.14059512705720367,0.21620667245745692,42403.0,1.0,22.0,0,12,71.11071017997689
56,SUM_002074,SED_0515,LLAVE_05,POT_ALTA,CLANDESTINA,0.5883509301643316,0.002531645567879608,6898.955794601119,4601.603514998947,2707.357708297088,ALTO,False,False,False,1.0,0.0,3.7384379573255875,0.5325974175461076,0.6069354343704063,0.9611597886429,0.8618401070110329,1.2764464712568921,746.0,0.3333333333333333,11.1,7,4,2.079563492063492
57,SUM_015688,SED_2362,LLAVE_16,POT_ALTA,MANIPULACIÓN,0.761869638490749,0.008464773452328881,5298.192524752312,3533.8944140097924,2692.3668596661178,MUY ALTO,False,False,False,-1.6439054391930814,0.307118405577957,20.188725401970594,0.775874995139802,0.7572011862743979,0.26203598421510266,-1.1160311827506684,0.36168488553807254,28027.0,1.0,12.0,0,12,76.63780393669332
58,SUM_006458,SED_2556,LLAVE_16,POT_MEDIA,CLANDESTINA,0.5492996050431865,0.002531645567879608,7346.859046325235,4900.354983898932,2691.763057227094,ALTO,False,False,False,1.0,0.006714665032679739,-0.6868767945545317,0.38413472912860536,0.6043545636813802,0.9330145140793258,0.7997851066967745,0.8090425431050917,214.0,0.5833333333333334,5.1,4,7,0.5847153804050356
59,SUM_013189,SED_1137,LLAVE_08,POT_ALTA,CLANDESTINA,0.5929694580025862,0.002531645567879608,6798.9639081584655,4534.908926741697,2689.0624883811133,ALTO,False,False,False,-2.0,0.003937405147082567,-0.2199858674062954,0.4202817396670111,0.6505320307811111,0.26060129757206874,-2.0,0.6036095422536106,418.0,0.9166666666666666,11.1,1,11,1.1311155913978495
60,SUM_010160,SED_0044,LLAVE_05,POT_ALTA,MANIPULACIÓN,0.7452661489067499,0.0024810306805202686,5406.93600071179,3606.4263124747645,2687.7474492140386,BAJO,False,False,False,-0.11942724576625076,0.49816313244047616,56.978836600767536,0.7751928822981399,0.39564543631861987,0.24023142264731454,-0.1967952309840046,0.09847766776868129,53100.0,1.0,12.0,0,12,145.63777276228436
61,SUM_012246,SED_1206,LLAVE_08,POT_ALTA,MANIPULACIÓN,0.9324089375193851,0.034404233520358464,4315.619770327784,2878.518386808632,2683.956270674251,CRÍTICO,False,False,False,-1.7595273362205535,0.16156235651974288,11.133459096276802,0.7296357500775403,1.0,0.2473379707043007,-2.0,0.46009253075831763,14707.0,1.0,12.1,0,12,39.96224798387097
62,SUM_010609,SED_1538,LLAVE_08,POT_ALTA,CLANDESTINA,0.6130106711937354,0.002531645567879608,6537.321351297423,4360.393341315381,2672.9676488284363,ALTO,False,False,False,-2.0,0.0022522522522522527,4.208707581149227,0.4927039803645301,0.6531129014701372,0.2755099993311484,-2.0,0.8733474793393152,297.0,0.6666666666666666,11.1,0,8,0.8212869623655914
63,SUM_000032,SED_1565,LLAVE_16,POT_MEDIA,CLANDESTINA,0.5493582757870756,0.002531645567879608,7292.8464055212935,4864.328552482703,2672.2591464537395,ALTO,False,False,False,1.0,0.0004041042940473681,-0.44565428972972276,0.38436941210416176,0.6043545636813802,0.9497893117517222,0.842791999774314,1.1033943507301853,185.0,0.5833333333333334,5.1,3,7,0.4001366418251469
64,SUM_010946,SED_2642,LLAVE_16,POT_ALTA,MANIPULACIÓN,0.5507863027889185,0.002531645567879608,7270.043679509253,4849.119134232672,2670.8283997270146,ALTO,False,False,False,1.0,0.0005040322580645161,-0.7708217114166503,0.39008152011153324,0.6043545636813802,0.9608052973045281,0.896769117115176,0.9949942292149814,125.0,0.5,12.0,6,6,0.3417002688172042
65,SUM_008803,SED_2470,LLAVE_10,POT_ALTA,MANIPULACIÓN,0.6977853922138405,0.004935573060319253,5722.582320820836,3816.9624079874975,2663.420610923041,ALTO,False,False,False,-0.6921169365139481,0.4239831349206349,39.05115223087668,0.7784471554185765,0.6708981378122618,0.25806969433482707,-0.7560990793597296,0.2809323844191641,41108.0,1.0,12.0,0,12,113.58330389696664
66,SUM_018297,SED_1777,LLAVE_08,POT_BAJA,MANIPULACIÓN,0.8983018497800305,0.01895129477444738,4405.798667273562,2938.6677110714663,2639.8106407443465,CRÍTICO,False,False,False,-2.0,0.5829358885420279,10.073009202206809,0.7306626367596922,0.9541815874534765,0.24765901946358101,-2.0,0.46403451888797004,12627.0,1.0,3.1,0,12,34.40840053763441
67,SUM_001082,SED_2105,LLAVE_05,POT_BAJA,MANIPULACIÓN,0.8005045527607196,0.015546214226490579,4934.912978856316,3291.586956897163,2634.9303448039814,MUY ALTO,False,False,False,1.0,0.030689964157706095,-0.36066077659546836,0.42212427961649945,0.9266313104754597,0.952835930706976,0.9007195672593769,0.7903525271900924,550.0,0.6666666666666666,3.1,4,8,1.5161162314388121
68,SUM_005469,SED_1523,LLAVE_08,POT_MEDIA,MANIPULACIÓN,0.6922735270871564,0.004340669732069963,5684.406217090219,3791.4989467991763,2624.7543488479046,ALTO,False,False,False,0.5691611606097812,1.1519478230213291,41.801955431452576,0.7916443254496196,0.659149927633002,0.819697679085011,0.3224267908900047,0.3046262980551575,67331.0,1.0,6.1,0,12,152.52210160962497
